UG2K(V),IA(nA)
1.0,0
2.0,4
3.0,11
4.0,21
5.0,32
6.0,47
7.0,62
8.0,76
9.0,90
10.0,101
11.0,112
12.0,122
13.0,131
14.0,139
15.0,146
16.0,152
17.0,158
18.0,160
19.0,158
20.0,155
21.0,157
22.0,166
23.0,176
24.0,185
25.0,193
26.0,200
27.0,205
28.0,209
29.0,206
30.0,197
31.0,183
32.0,179
33.0,189
34.0,204
35.0,219
36.0,229
37.0,237
38.0,244
39.0,246
40.0,244
41.0,233
42.0,217
43.0,204
44.0,211
45.0,227
46.0,246
47.0,262
48.0,273
49.0,280
50.0,283
51.0,283
52.0,278
53.0,264
54.0,244
55.0,238
56.0,248
57.0,268
58.0,287
59.0,303
60.0,313
61.0,320
62.0,323
63.0,322
64.0,316
65.0,300
66.0,283
67.0,278
68.0,289
69.0,307
70.0,325
71.0,341
72.0,353
73.0,362
74.0,366
75.0,367
76.0,361
77.0,348
78.0,334
79.0,329
80.0,335
81.0,349
82.0,366
83.0,382
84.0,396
85.0,408
86.0,416
87.0,420
88.0,418
89.0,411
90.0,400
91.0,394
92.0,396
93.0,405
94.0,417
95.0,433
96.0,449
97.0,463
98.0,474
99.0,485
100.0,488